UTM Bands,UTM Easting,UTM Northing
12S 635263 3784709,635263,3784709
12S 641712 3784864,641712,3784864
12S 640996 3783473,640996,3783473
12S 642360 3784654,642360,3784654
12S 643971 3781837,643971,3781837
12S 641831 3783125,641831,3783125
12S 642301 3782512,642301,3782512
12S 641757 3781884,641757,3781884
12S 638990 3781942,638990,3781942
12S 638055 3782829,638055,3782829
12S 638231 3783452,638231,3783452
12S 635762 3782035,635762,3782035
12S 636481 3783326,636481,3783326
12S 640915 3780874,640915,3780874
12S 642931 3781681,642931,3781681
12S 640591 3779685,640591,3779685
12S 637551 3779500,637551,3779500
12S 638573 3778975,638573,3778975
12S 637008 3778772,637008,3778772
12S 636564 3777625,636564,3777625
12S 638594 3777535,638594,3777535
12S 639150 3777403,639150,3777403
12S 645464 3786582,645464,3786582
12S 645802 3782626,645802,3782626
12S 647582 3780853,647582,3780853
12S 649418 3781362,649418,3781362
12S 652658 3780594,652658,3780594
12S 646410 3779114,646410,3779114
12S 648000 3777698,648000,3777698
